learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,2,0.238,0.877,1,0.082703,9
2,8,4,0.201,0.881,1,0.954681,1
3,10,0,0.215,0.875,1,0.637604,1
3,10,2,0.215,0.875,1,0.519012,6
3,10,9,0.215,0.875,1,0.330505,3
4,13,3,0.229,0.865,1,0.421356,1
5,9,0,0.22,0.871,1,0.483826,0
5,9,3,0.22,0.871,1,0.703583,4
5,9,4,0.22,0.871,1,0.641266,6
5,9,5,0.22,0.871,1,0.73111,1
6,19,2,0.22,0.863,1,0.362,5
6,19,5,0.22,0.863,1,0.298157,8
6,19,7,0.22,0.863,1,0.752289,7
6,19,13,0.22,0.863,1,0.053955,2
7,8,4,0.209,0.866,1,0.890961,5
8,10,5,0.223,0.887,1,0.678894,5
8,10,8,0.223,0.887,1,0.518677,7
9,13,2,0.199,0.871,1,0.18457,7
9,13,4,0.199,0.871,1,0.118561,5
9,13,9,0.199,0.871,1,0.79715,4
9,13,11,0.199,0.871,1,0.605835,1
10,7,3,0.2,0.876,1,0.258759,1
12,19,12,0.221,0.877,1,0.860168,5
12,19,13,0.221,0.877,1,0.659454,6
13,8,2,0.232,0.87,1,0.952057,7
13,8,4,0.232,0.87,1,0.732971,1
13,8,7,0.232,0.87,1,0.076599,0
14,7,1,0.219,0.871,1,0.803558,0
14,7,3,0.219,0.871,1,0.489441,3
15,15,2,0.218,0.879,1,0.241272,7
15,15,4,0.218,0.879,1,0.846954,5
15,15,6,0.218,0.879,1,0.406464,8
15,15,7,0.218,0.879,1,0.708435,2
15,15,13,0.218,0.879,1,0.621124,3
17,16,1,0.22,0.885,1,0.337769,9
17,16,4,0.22,0.885,1,0.594666,0
17,16,5,0.22,0.885,1,0.548187,6
17,16,10,0.22,0.885,1,0.482513,1
17,16,13,0.22,0.885,1,0.792267,5
18,10,2,0.213,0.871,1,0.506378,6
18,10,4,0.213,0.871,1,0.7565,9
18,10,7,0.213,0.871,1,0.843536,4
18,10,8,0.213,0.871,1,0.360596,0
20,16,1,0.203,0.875,1,0.562164,0
20,16,8,0.203,0.875,1,0.006073,3
20,16,9,0.203,0.875,1,0.96524,7
21,6,0,0.224,0.868,1,0.63974,7
21,6,1,0.224,0.868,1,0.352173,5
21,6,4,0.224,0.868,1,0.151886,8
22,11,6,0.213,0.886,1,0.082184,2
24,12,7,0.204,0.882,1,0.798615,2
24,12,9,0.204,0.882,1,0.350616,7
26,20,4,0.21,0.877,1,0.021179,2
26,20,18,0.21,0.877,1,0.511505,3
27,10,0,0.197,0.884,1,0.02301,9
27,10,5,0.197,0.884,1,0.294861,0
28,20,7,0.222,0.858,1,0.36264,6
28,20,14,0.222,0.858,1,0.395233,4
28,20,15,0.222,0.858,1,0.302612,2
29,20,4,0.225,0.848,1,0.631042,6
29,20,6,0.225,0.848,1,0.413208,2
29,20,8,0.225,0.848,1,0.321259,3
29,20,9,0.225,0.848,1,0.282196,7
29,20,10,0.225,0.848,1,0.343475,1
29,20,12,0.225,0.848,1,0.001404,5
29,20,13,0.225,0.848,1,0.147064,8
30,13,5,0.214,0.883,1,0.590363,3
30,13,8,0.214,0.883,1,0.763885,9
31,10,0,0.21,0.878,1,0.518921,0
31,10,5,0.21,0.878,1,0.015411,8
32,15,1,0.224,0.892,1,0.950653,3
33,22,1,0.215,0.885,1,0.302643,3
33,22,7,0.215,0.885,1,0.460815,9
33,22,20,0.215,0.885,1,0.573425,0
35,23,6,0.211,0.883,1,0.280487,6
35,23,8,0.211,0.883,1,0.29364,1
35,23,11,0.211,0.883,1,0.35498,0
35,23,19,0.211,0.883,1,0.237671,2
35,23,21,0.211,0.883,1,0.929626,3
35,23,22,0.211,0.883,1,0.842621,7
36,19,5,0.226,0.864,1,0.345062,5
36,19,9,0.226,0.864,1,0.857544,9
36,19,10,0.226,0.864,1,0.623993,1
37,9,7,0.204,0.862,1,0.357452,1
37,9,8,0.204,0.862,1,0.853455,3
38,27,1,0.186,0.87,1,0.911652,1
38,27,2,0.186,0.87,1,0.832062,3
38,27,3,0.186,0.87,1,0.41275,7
38,27,8,0.186,0.87,1,0.056641,5
38,27,9,0.186,0.87,1,0.113525,8
38,27,14,0.186,0.87,1,0.226013,2
38,27,16,0.186,0.87,1,0.715973,6
38,27,17,0.186,0.87,1,0.410858,0
39,5,4,0.233,0.878,1,0.646362,5
40,16,4,0.217,0.889,1,0.365997,8
40,16,5,0.217,0.889,1,0.372101,5
40,16,6,0.217,0.889,1,0.140991,7
40,16,11,0.217,0.889,1,0.765656,4
40,16,13,0.217,0.889,1,0.821869,0
41,17,2,0.222,0.866,1,0.16394,0
41,17,3,0.222,0.866,1,0.741241,3
41,17,7,0.222,0.866,1,0.462036,7
41,17,8,0.222,0.866,1,0.051178,2
41,17,11,0.222,0.866,1,0.580444,6
41,17,13,0.222,0.866,1,0.237396,1
41,17,14,0.222,0.866,1,0.307861,5
42,3,0,0.208,0.883,1,0.647797,6
43,19,1,0.208,0.866,1,0.216614,9
43,19,2,0.208,0.866,1,0.161346,1
43,19,6,0.208,0.866,1,0.18454,2
43,19,8,0.208,0.866,1,0.038574,3
43,19,15,0.208,0.866,1,0.687897,0
43,19,17,0.208,0.866,1,0.759247,6
44,18,1,0.229,0.874,1,0.974548,6
44,18,3,0.229,0.874,1,0.820068,4
44,18,5,0.229,0.874,1,0.396423,2
44,18,7,0.229,0.874,1,0.043091,1
44,18,9,0.229,0.874,1,0.89502,8
44,18,13,0.229,0.874,1,0.129608,0
45,23,2,0.212,0.857,1,0.024994,4
45,23,5,0.212,0.857,1,0.473816,6
45,23,7,0.212,0.857,1,0.267273,9
45,23,18,0.212,0.857,1,0.677185,2
46,15,7,0.215,0.874,1,0.92041,2
46,15,10,0.215,0.874,1,0.286469,3
47,10,9,0.204,0.889,1,0.363464,2
48,11,1,0.235,0.876,1,0.728241,2
48,11,4,0.235,0.876,1,0.975616,7
48,11,9,0.235,0.876,1,0.744354,3
49,29,2,0.196,0.879,1,0.672699,1
49,29,8,0.196,0.879,1,0.093903,9
49,29,13,0.196,0.879,1,0.150391,0
49,29,28,0.196,0.879,1,0.785095,8
50,11,0,0.227,0.872,1,0.829254,3
50,11,3,0.227,0.872,1,0.956329,9
50,11,4,0.227,0.872,1,0.206207,1
52,16,10,0.214,0.861,1,0.626251,0
52,16,14,0.214,0.861,1,0.054504,3
53,21,1,0.213,0.877,1,0.814056,0
53,21,10,0.213,0.877,1,0.549072,4
54,20,5,0.213,0.88,1,0.353729,4
54,20,6,0.213,0.88,1,0.210968,0
54,20,9,0.213,0.88,1,0.333191,9
54,20,11,0.213,0.88,1,0.917938,6
54,20,16,0.213,0.88,1,0.078217,3
54,20,18,0.213,0.88,1,0.61734,1
54,20,19,0.213,0.88,1,0.606598,5
55,20,3,0.214,0.885,1,0.739532,6
55,20,5,0.214,0.885,1,0.005707,9
55,20,9,0.214,0.885,1,0.985535,4
55,20,16,0.214,0.885,1,0.901672,8
55,20,18,0.214,0.885,1,0.671295,0
56,12,0,0.225,0.878,1,0.213959,8
56,12,3,0.225,0.878,1,0.131622,7
56,12,4,0.225,0.878,1,0.791595,0
56,12,5,0.225,0.878,1,0.672302,5
57,27,7,0.2,0.865,1,0.910034,7
57,27,16,0.2,0.865,1,0.074066,0
57,27,24,0.2,0.865,1,0.344299,3
57,27,26,0.2,0.865,1,0.892456,5
58,10,4,0.205,0.87,1,0.19751,7
58,10,8,0.205,0.87,1,0.754395,5
59,19,3,0.222,0.869,1,0.904236,4
59,19,6,0.222,0.869,1,0.441742,7
60,19,2,0.205,0.864,1,0.806946,5
60,19,8,0.205,0.864,1,0.585327,4
61,9,1,0.234,0.885,1,0.227722,4
61,9,6,0.234,0.885,1,0.835144,5
63,14,4,0.217,0.88,1,0.353455,5
63,14,5,0.217,0.88,1,0.760529,8
64,14,3,0.203,0.902,1,0.445831,8
64,14,7,0.203,0.902,1,0.703156,2
65,18,0,0.204,0.878,1,0.02533,2
65,18,1,0.204,0.878,1,0.902527,7
65,18,5,0.204,0.878,1,0.68457,6
65,18,15,0.204,0.878,1,0.982025,5
66,17,0,0.211,0.857,1,0.851166,2
66,17,4,0.211,0.857,1,0.83255,3
66,17,5,0.211,0.857,1,0.074005,1
68,17,1,0.222,0.872,1,0.385956,1
68,17,4,0.222,0.872,1,0.496674,0
68,17,8,0.222,0.872,1,0.403717,3
68,17,12,0.222,0.872,1,0.577362,8
68,17,15,0.222,0.872,1,0.963135,7
69,19,3,0.226,0.871,1,0.954041,7
69,19,13,0.226,0.871,1,0.825958,2
69,19,18,0.226,0.871,1,0.907959,5
71,20,1,0.189,0.874,1,0.6185,7
71,20,8,0.189,0.874,1,0.868164,5
71,20,16,0.189,0.874,1,0.537262,8
72,13,3,0.221,0.887,1,0.005249,3
73,18,2,0.207,0.879,1,0.213867,8
73,18,9,0.207,0.879,1,0.048004,7
73,18,12,0.207,0.879,1,0.304901,5
74,21,0,0.228,0.885,1,0.070557,5
74,21,5,0.228,0.885,1,0.153564,7
74,21,12,0.228,0.885,1,0.158203,3
74,21,17,0.228,0.885,1,0.082367,8
74,21,20,0.228,0.885,1,0.947418,2
76,20,5,0.213,0.869,1,0.80899,7
76,20,6,0.213,0.869,1,0.579987,2
76,20,17,0.213,0.869,1,0.359131,6
77,17,1,0.196,0.897,1,0.45517,7
77,17,5,0.196,0.897,1,0.197388,2
77,17,8,0.196,0.897,1,0.548859,1
77,17,14,0.196,0.897,1,0.234039,6
77,17,16,0.196,0.897,1,0.290009,9
78,20,4,0.219,0.868,1,0.002533,9
78,20,5,0.219,0.868,1,0.180695,2
78,20,7,0.219,0.868,1,0.901611,3
78,20,17,0.219,0.868,1,0.586395,1
79,17,1,0.208,0.874,1,0.176697,6
79,17,3,0.208,0.874,1,0.824982,5
79,17,4,0.208,0.874,1,0.598236,7
79,17,8,0.208,0.874,1,0.15921,1
79,17,11,0.208,0.874,1,0.124969,0
81,25,5,0.209,0.869,1,0.042755,4
81,25,6,0.209,0.869,1,0.783722,2
81,25,11,0.209,0.869,1,0.181946,6
81,25,13,0.209,0.869,1,0.363373,9
81,25,23,0.209,0.869,1,0.354309,8
82,16,3,0.223,0.881,1,0.875214,9
82,16,4,0.223,0.881,1,0.808563,3
82,16,6,0.223,0.881,1,0.251251,8
82,16,9,0.223,0.881,1,0.523193,7
82,16,11,0.223,0.881,1,0.110962,6
82,16,15,0.223,0.881,1,0.030273,4
83,18,1,0.218,0.895,1,0.991486,2
83,18,4,0.218,0.895,1,0.613617,6
83,18,13,0.218,0.895,1,0.093414,7
83,18,16,0.218,0.895,1,0.647247,5
84,8,1,0.214,0.872,1,0.933167,7
84,8,2,0.214,0.872,1,0.517975,1
84,8,3,0.214,0.872,1,0.427582,3
84,8,4,0.214,0.872,1,0.875977,9
85,19,1,0.235,0.869,1,0.167755,1
85,19,3,0.235,0.869,1,0.031464,0
85,19,4,0.235,0.869,1,0.475037,4
85,19,7,0.235,0.869,1,0.700073,6
85,19,8,0.235,0.869,1,0.4534,2
85,19,16,0.235,0.869,1,0.796814,3
85,19,17,0.235,0.869,1,0.699585,7
86,11,1,0.209,0.879,1,0.482025,2
86,11,2,0.209,0.879,1,0.341339,7
87,7,1,0.208,0.852,1,0.340363,5
87,7,4,0.208,0.852,1,0.069336,8
88,5,1,0.204,0.865,1,0.060486,5
88,5,3,0.204,0.865,1,0.961517,2
89,12,4,0.221,0.874,1,0.445343,5
89,12,8,0.221,0.874,1,0.780426,4
90,22,0,0.231,0.886,1,0.754639,1
90,22,14,0.231,0.886,1,0.029785,2
90,22,15,0.231,0.886,1,0.466003,3
90,22,17,0.231,0.886,1,0.855225,7
90,22,20,0.231,0.886,1,0.651855,6
91,3,2,0.202,0.896,1,0.688629,2
92,5,2,0.223,0.879,1,0.128174,2
93,17,0,0.21,0.867,1,0.013824,2
93,17,14,0.21,0.867,1,0.530121,3
94,21,8,0.209,0.886,1,0.826141,9
95,21,1,0.211,0.863,1,0.715851,9
95,21,9,0.211,0.863,1,0.37027,1
95,21,19,0.211,0.863,1,0.91095,6
97,15,0,0.208,0.878,1,0.021851,6
97,15,8,0.208,0.878,1,0.913147,5
98,13,2,0.224,0.865,1,0.617432,5
98,13,4,0.224,0.865,1,0.929626,6
98,13,8,0.224,0.865,1,0.279114,7
98,13,9,0.224,0.865,1,0.299591,8
99,18,0,0.227,0.863,1,0.520355,3
99,18,1,0.227,0.863,1,0.431213,9
99,18,2,0.227,0.863,1,0.285767,1
99,18,6,0.227,0.863,1,0.499573,2
99,18,10,0.227,0.863,1,0.908813,8
99,18,12,0.227,0.863,1,0.94632,7
