learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
2,8,3,0,0.201,0.881,1,0.108612061,0.148956299,0.329528809,3,0.79180156
2,8,3,1,0.201,0.881,1,0.108612061,0.148956299,0.329528809,3,0.678699473
2,8,3,2,0.201,0.881,1,0.108612061,0.148956299,0.329528809,3,0.746670863
2,8,3,3,0.201,0.881,1,0.108612061,0.148956299,0.329528809,3,0.652655042
2,8,3,4,0.201,0.881,1,0.108612061,0.148956299,0.329528809,3,0.721356259
2,8,3,5,0.201,0.881,1,0.108612061,0.148956299,0.329528809,3,0.800173585
2,8,3,6,0.201,0.881,1,0.108612061,0.148956299,0.329528809,3,0.685193836
2,8,3,7,0.201,0.881,1,0.108612061,0.148956299,0.329528809,3,0.84352514
2,8,3,8,0.201,0.881,1,0.108612061,0.148956299,0.329528809,3,0.754397543
2,8,3,9,0.201,0.881,1,0.108612061,0.148956299,0.329528809,3,0.649918636
2,8,4,0,0.201,0.881,1,0.042938232,0.586608887,0.613372803,4,0.884202167
2,8,4,1,0.201,0.881,1,0.042938232,0.586608887,0.613372803,4,0.830024162
2,8,4,2,0.201,0.881,1,0.042938232,0.586608887,0.613372803,4,0.866655294
2,8,4,3,0.201,0.881,1,0.042938232,0.586608887,0.613372803,4,0.789193029
2,8,4,4,0.201,0.881,1,0.042938232,0.586608887,0.613372803,4,0.851442731
2,8,4,5,0.201,0.881,1,0.042938232,0.586608887,0.613372803,4,0.758781673
2,8,4,6,0.201,0.881,1,0.042938232,0.586608887,0.613372803,4,0.837845767
2,8,4,7,0.201,0.881,1,0.042938232,0.586608887,0.613372803,4,0.901789021
2,8,4,8,0.201,0.881,1,0.042938232,0.586608887,0.613372803,4,0.793149314
2,8,4,9,0.201,0.881,1,0.042938232,0.586608887,0.613372803,4,0.798340977
2,8,6,0,0.201,0.881,1,0.134307861,0.662597656,0.437957764,2,0.692101083
2,8,6,1,0.201,0.881,1,0.134307861,0.662597656,0.437957764,2,0.665012081
2,8,6,2,0.201,0.881,1,0.134307861,0.662597656,0.437957764,2,0.683327647
2,8,6,3,0.201,0.881,1,0.134307861,0.662597656,0.437957764,2,0.644596515
2,8,6,4,0.201,0.881,1,0.134307861,0.662597656,0.437957764,2,0.675721365
2,8,6,5,0.201,0.881,1,0.134307861,0.662597656,0.437957764,2,0.629390836
2,8,6,6,0.201,0.881,1,0.134307861,0.662597656,0.437957764,2,0.668922883
2,8,6,7,0.201,0.881,1,0.134307861,0.662597656,0.437957764,2,0.700894511
2,8,6,8,0.201,0.881,1,0.134307861,0.662597656,0.437957764,2,0.646574657
2,8,6,9,0.201,0.881,1,0.134307861,0.662597656,0.437957764,2,0.649170488
2,8,7,0,0.201,0.881,1,0.137329102,0.755218506,0.702301025,2,0.596050542
2,8,7,1,0.201,0.881,1,0.137329102,0.755218506,0.702301025,2,0.58250604
2,8,7,2,0.201,0.881,1,0.137329102,0.755218506,0.702301025,2,0.591663824
2,8,7,3,0.201,0.881,1,0.137329102,0.755218506,0.702301025,2,0.572298257
2,8,7,4,0.201,0.881,1,0.137329102,0.755218506,0.702301025,2,0.587860683
2,8,7,5,0.201,0.881,1,0.137329102,0.755218506,0.702301025,2,0.564695418
2,8,7,6,0.201,0.881,1,0.137329102,0.755218506,0.702301025,2,0.584461442
2,8,7,7,0.201,0.881,1,0.137329102,0.755218506,0.702301025,2,0.600447255
2,8,7,8,0.201,0.881,1,0.137329102,0.755218506,0.702301025,2,0.573287328
2,8,7,9,0.201,0.881,1,0.137329102,0.755218506,0.702301025,2,0.574585244
3,10,7,0,0.215,0.875,1,0.098144531,0.555297852,0.017578125,3,0.731007058
3,10,7,1,0.215,0.875,1,0.098144531,0.555297852,0.017578125,3,0.730674044
3,10,7,2,0.215,0.875,1,0.098144531,0.555297852,0.017578125,3,0.743713454
3,10,7,3,0.215,0.875,1,0.098144531,0.555297852,0.017578125,3,0.675786519
3,10,7,4,0.215,0.875,1,0.098144531,0.555297852,0.017578125,3,0.733614422
3,10,7,5,0.215,0.875,1,0.098144531,0.555297852,0.017578125,3,0.589539379
3,10,7,6,0.215,0.875,1,0.098144531,0.555297852,0.017578125,3,0.747626431
3,10,7,7,0.215,0.875,1,0.098144531,0.555297852,0.017578125,3,0.715511712
3,10,7,8,0.215,0.875,1,0.098144531,0.555297852,0.017578125,3,0.631586031
3,10,7,9,0.215,0.875,1,0.098144531,0.555297852,0.017578125,3,0.691454173
4,13,1,0,0.229,0.865,1,0.131622314,0.779663086,0.117889404,0,0.370828529
4,13,1,1,0.229,0.865,1,0.131622314,0.779663086,0.117889404,0,0.370632232
4,13,1,2,0.229,0.865,1,0.131622314,0.779663086,0.117889404,0,0.383571901
4,13,1,3,0.229,0.865,1,0.131622314,0.779663086,0.117889404,0,0.344455579
4,13,1,4,0.229,0.865,1,0.131622314,0.779663086,0.117889404,0,0.505403402
4,13,1,5,0.229,0.865,1,0.131622314,0.779663086,0.117889404,0,0.299391243
4,13,1,6,0.229,0.865,1,0.131622314,0.779663086,0.117889404,0,0.430524276
4,13,1,7,0.229,0.865,1,0.131622314,0.779663086,0.117889404,0,0.361927172
4,13,1,8,0.229,0.865,1,0.131622314,0.779663086,0.117889404,0,0.336004513
4,13,1,9,0.229,0.865,1,0.131622314,0.779663086,0.117889404,0,0.522411641
4,13,5,0,0.229,0.865,1,0.170623779,0.149749756,0.494354248,3,0.645982095
4,13,5,1,0.229,0.865,1,0.170623779,0.149749756,0.494354248,3,0.477958143
4,13,5,2,0.229,0.865,1,0.170623779,0.149749756,0.494354248,3,0.471474245
4,13,5,3,0.229,0.865,1,0.170623779,0.149749756,0.494354248,3,0.463971199
4,13,5,4,0.229,0.865,1,0.170623779,0.149749756,0.494354248,3,0.705522898
4,13,5,5,0.229,0.865,1,0.170623779,0.149749756,0.494354248,3,0.549135311
4,13,5,6,0.229,0.865,1,0.170623779,0.149749756,0.494354248,3,0.609220117
4,13,5,7,0.229,0.865,1,0.170623779,0.149749756,0.494354248,3,0.596430686
4,13,5,8,0.229,0.865,1,0.170623779,0.149749756,0.494354248,3,0.621228991
4,13,5,9,0.229,0.865,1,0.170623779,0.149749756,0.494354248,3,0.6315901
4,13,7,0,0.229,0.865,1,0.037780762,0.044525146,0.670135498,4,0.621337075
4,13,7,1,0.229,0.865,1,0.037780762,0.044525146,0.670135498,4,0.724842176
4,13,7,2,0.229,0.865,1,0.037780762,0.044525146,0.670135498,4,0.729412126
4,13,7,3,0.229,0.865,1,0.037780762,0.044525146,0.670135498,4,0.666557744
4,13,7,4,0.229,0.865,1,0.037780762,0.044525146,0.670135498,4,0.613926781
4,13,7,5,0.229,0.865,1,0.037780762,0.044525146,0.670135498,4,0.768373785
4,13,7,6,0.229,0.865,1,0.037780762,0.044525146,0.670135498,4,0.760392224
4,13,7,7,0.229,0.865,1,0.037780762,0.044525146,0.670135498,4,0.775107023
4,13,7,8,0.229,0.865,1,0.037780762,0.044525146,0.670135498,4,0.784901456
4,13,7,9,0.229,0.865,1,0.037780762,0.044525146,0.670135498,4,0.648726331
4,13,10,0,0.229,0.865,1,0.094146729,0.127166748,0.518798828,0,0.354230385
4,13,10,1,0.229,0.865,1,0.094146729,0.127166748,0.518798828,0,0.473304396
4,13,10,2,0.229,0.865,1,0.094146729,0.127166748,0.518798828,0,0.383190127
4,13,10,3,0.229,0.865,1,0.094146729,0.127166748,0.518798828,0,0.551346353
4,13,10,4,0.229,0.865,1,0.094146729,0.127166748,0.518798828,0,0.330376344
4,13,10,5,0.229,0.865,1,0.094146729,0.127166748,0.518798828,0,0.422136216
4,13,10,6,0.229,0.865,1,0.094146729,0.127166748,0.518798828,0,0.411545908
4,13,10,7,0.229,0.865,1,0.094146729,0.127166748,0.518798828,0,0.397582444
4,13,10,8,0.229,0.865,1,0.094146729,0.127166748,0.518798828,0,0.490501901
4,13,10,9,0.229,0.865,1,0.094146729,0.127166748,0.518798828,0,0.538608133
5,9,3,0,0.22,0.871,1,0.142822266,0.105163574,0.026306152,1,0.22813607
5,9,3,1,0.22,0.871,1,0.142822266,0.105163574,0.026306152,1,0.293476019
5,9,3,2,0.22,0.871,1,0.142822266,0.105163574,0.026306152,1,0.409001611
5,9,3,3,0.22,0.871,1,0.142822266,0.105163574,0.026306152,1,0.458390608
5,9,3,4,0.22,0.871,1,0.142822266,0.105163574,0.026306152,1,0.250974945
5,9,3,5,0.22,0.871,1,0.142822266,0.105163574,0.026306152,1,0.438628157
5,9,3,6,0.22,0.871,1,0.142822266,0.105163574,0.026306152,1,0.306270269
5,9,3,7,0.22,0.871,1,0.142822266,0.105163574,0.026306152,1,0.436931305
5,9,3,8,0.22,0.871,1,0.142822266,0.105163574,0.026306152,1,0.463476958
5,9,3,9,0.22,0.871,1,0.142822266,0.105163574,0.026306152,1,0.309642031
5,9,6,0,0.22,0.871,1,0.040588379,0.480163574,0.150878906,2,0.364068035
5,9,6,1,0.22,0.871,1,0.040588379,0.480163574,0.150878906,2,0.396738009
5,9,6,2,0.22,0.871,1,0.040588379,0.480163574,0.150878906,2,0.454500806
5,9,6,3,0.22,0.871,1,0.040588379,0.480163574,0.150878906,2,0.479195304
5,9,6,4,0.22,0.871,1,0.040588379,0.480163574,0.150878906,2,0.375487473
5,9,6,5,0.22,0.871,1,0.040588379,0.480163574,0.150878906,2,0.469314079
5,9,6,6,0.22,0.871,1,0.040588379,0.480163574,0.150878906,2,0.403135134
5,9,6,7,0.22,0.871,1,0.040588379,0.480163574,0.150878906,2,0.468465652
5,9,6,8,0.22,0.871,1,0.040588379,0.480163574,0.150878906,2,0.481738479
5,9,6,9,0.22,0.871,1,0.040588379,0.480163574,0.150878906,2,0.404821015
5,9,8,0,0.22,0.871,1,0.11529541,0.344116211,0.722595215,3,0.528965148
5,9,8,1,0.22,0.871,1,0.11529541,0.344116211,0.722595215,3,0.631731693
5,9,8,2,0.22,0.871,1,0.11529541,0.344116211,0.722595215,3,0.565312738
5,9,8,3,0.22,0.871,1,0.11529541,0.344116211,0.722595215,3,0.631343135
5,9,8,4,0.22,0.871,1,0.11529541,0.344116211,0.722595215,3,0.649784422
